num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,title,f_k_grade,artist,difficult_words,num_dupes,neg,neu,compound,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,Genre,Gender
208.8,0.107,1951,4,91.78,160,28,Jezebel,1.7,Frankie Laine,16,22,0.125,0.768,-0.6531,6SYQwsOxHW5uUYjUpOKtIC,0.504,0.265,5,-16.424,1,0.0344,0.835,0,0.604,0.393,136.721,190933,4,spotify:track:6SYQwsOxHW5uUYjUpOKtIC,https://api.spotify.com/v1/audio-analysis/6SYQwsOxHW5uUYjUpOKtIC,,male
139.5,0.108,1951,5.2,88.74,109,13,Mockin' Bird Hill,2.9,Patti Page,20,1,0,0.892,0.9062,5yzlxi4VFO8UkxepsL0guW,0.561,0.3,3,-13.995,1,0.0422,0.75,0,0.283,0.563,109.795,178867,4,spotify:track:5yzlxi4VFO8UkxepsL0guW,https://api.spotify.com/v1/audio-analysis/5yzlxi4VFO8UkxepsL0guW,jazz,female
300.6,0.092,1951,5.2,88.74,232,29,"Rose, Rose I Love You",2.9,Frankie Laine,32,9,0.042,0.866,0.9314,5hQ3Z5zYqHKZBO0pPb16eI,0.336,0.315,0,-14.154,1,0.0432,0.801,0,0.175,0.938,202.391,152307,4,spotify:track:5hQ3Z5zYqHKZBO0pPb16eI,https://api.spotify.com/v1/audio-analysis/5hQ3Z5zYqHKZBO0pPb16eI,,male
177.3,0.186,1951,4,100.24,143,24,You're Just In Love,0.5,Perry Como,14,4,0.052,0.761,0.9783,0jVYsBfsxGA7zPurjqnlH8,0.649,0.118,2,-13.16,1,0.0513,0.924,0,0.218,0.549,74.99,175213,4,spotify:track:0jVYsBfsxGA7zPurjqnlH8,https://api.spotify.com/v1/audio-analysis/0jVYsBfsxGA7zPurjqnlH8,jazz,male
131.4,0.33,1951,4.4,90.77,101,15,Because Of You,2.1,Les Baxter,7,8,0,0.67,0.9904,4WToccEJeXgFNyfNPuSYCS,0.238,0.207,5,-12.894,0,0.0301,0.865,1.49E-06,0.135,0.303,97.574,170800,4,spotify:track:4WToccEJeXgFNyfNPuSYCS,https://api.spotify.com/v1/audio-analysis/4WToccEJeXgFNyfNPuSYCS,,Group
161.1,0.195,1952,6,103.63,145,14,Half As Much,1.3,Rosemary Clooney,6,7,0.073,0.732,0.9759,5vIe5BmOlPXarqRxJh9FNE,0.277,0.189,10,-12.424,1,0.0329,0.944,0,0.232,0.208,86.655,166373,1,spotify:track:5vIe5BmOlPXarqRxJh9FNE,https://api.spotify.com/v1/audio-analysis/5vIe5BmOlPXarqRxJh9FNE,swing,female
157.5,0.177,1952,3.6,92.8,119,27,I Went To Your Wedding,1.3,Patti Page,16,17,0.249,0.574,-0.91,1pfNFUzZIhwPx1m9eqOlfX,0.408,0.309,9,-12.663,1,0.0282,0.814,7.59E-05,0.0786,0.257,90.702,175333,3,spotify:track:1pfNFUzZIhwPx1m9eqOlfX,https://api.spotify.com/v1/audio-analysis/1pfNFUzZIhwPx1m9eqOlfX,jazz,female
138.6,0.273,1952,5.6,96.18,115,12,Here In My Heart,2.1,Al Martino,7,5,0.089,0.639,0.9764,0AwZRPEUFyZxpVnCIAi5ZF,0.195,0.276,1,-9.634,1,0.0336,0.645,0.124,0.343,0.233,105.189,182560,3,spotify:track:0AwZRPEUFyZxpVnCIAi5ZF,https://api.spotify.com/v1/audio-analysis/0AwZRPEUFyZxpVnCIAi5ZF,jazz,male
256.5,0.094,1952,4,66.4,164,31,Botch-a-me,5.2,Rosemary Clooney,25,24,0.041,0.865,0.886,72HUHsM38XhUE7YjA7oxLz,0.642,0.664,0,-8.485,1,0.0934,0.802,0,0.138,0.959,148.866,136867,4,spotify:track:72HUHsM38XhUE7YjA7oxLz,https://api.spotify.com/v1/audio-analysis/72HUHsM38XhUE7YjA7oxLz,swing,female
362.7,0.206,1952,6,95.17,314,31,A Guy Is A Guy,2.5,Doris Day,14,18,0.016,0.778,0.9958,1lZSR5NKeNGuCPSTNL7BhW,0.727,0.285,2,-14.098,1,0.0457,0.901,0,0.141,0.759,120.195,159507,4,spotify:track:1lZSR5NKeNGuCPSTNL7BhW,https://api.spotify.com/v1/audio-analysis/1lZSR5NKeNGuCPSTNL7BhW,jazz,female
206.1,0.09,1952,4.8,98.21,168,24,High Noon,1.3,Frankie Laine,22,6,0.105,0.805,0.1086,1yGBGPgpGi5ua0HbHcvesQ,0.466,0.252,3,-17.869,1,0.0416,0.935,1.75E-06,0.171,0.338,140.97,158360,4,spotify:track:1yGBGPgpGi5ua0HbHcvesQ,https://api.spotify.com/v1/audio-analysis/1yGBGPgpGi5ua0HbHcvesQ,,male
153.9,0.319,1953,3.6,101.26,129,29,No Other Love,0.1,Perry Como,9,16,0.14,0.54,0.9911,7EQS9cBRKGzrkIk464rP6O,0.284,0.178,0,-12.544,1,0.0291,0.879,0,0.129,0.188,88.898,193240,4,spotify:track:7EQS9cBRKGzrkIk464rP6O,https://api.spotify.com/v1/audio-analysis/7EQS9cBRKGzrkIk464rP6O,jazz,male
337.5,0.115,1953,4.4,107.69,297,48,Don't Let The Stars Get In Your Eyes,-0.3,Perry Como,11,27,0.006,0.878,0.9895,67wujxNGj79fzPuROJRXLQ,0.808,0.421,8,-12.533,1,0.042,0.809,0,0.0724,0.963,122.752,160773,4,spotify:track:67wujxNGj79fzPuROJRXLQ,https://api.spotify.com/v1/audio-analysis/67wujxNGj79fzPuROJRXLQ,jazz,male
179.1,0.079,1953,4.4,90.77,133,21,I Believe,2.1,Frankie Laine,12,1,0.152,0.769,-0.836,049uxirFkHOefJ0yqPW8Kk,0.402,0.159,1,-18.598,1,0.0306,0.977,1.76E-05,0.155,0.282,67.796,130893,4,spotify:track:049uxirFkHOefJ0yqPW8Kk,https://api.spotify.com/v1/audio-analysis/049uxirFkHOefJ0yqPW8Kk,,male
104.4,0.207,1953,4,100.24,89,15,Ebb Tide,0.5,Frank Chacksfield,5,2,0,0.793,0.9618,59jHIZlbRqN5cxbRC6fJt4,0.143,0.496,0,-9.564,1,0.0344,0.726,0.0469,0.555,0.0675,92.485,217267,5,spotify:track:59jHIZlbRqN5cxbRC6fJt4,https://api.spotify.com/v1/audio-analysis/59jHIZlbRqN5cxbRC6fJt4,,male
119.7,0.222,1953,4.4,99.23,99,15,Pretend,0.9,Nat King Cole,9,0,0.078,0.7,0.9513,0nQq0gmq7gcOWyLGrtqu8Z,0.37,0.169,10,-16.673,1,0.0331,0.938,1.77E-06,0.103,0.291,83.265,165240,4,spotify:track:0nQq0gmq7gcOWyLGrtqu8Z,https://api.spotify.com/v1/audio-analysis/0nQq0gmq7gcOWyLGrtqu8Z,soul,male
191.7,0.149,1953,4.8,98.21,160,22,Rags To Riches,1.3,Tony Bennett,10,12,0.023,0.828,0.9685,4BH8EuPAxeFAh1rSWtnGdD,0.409,0.435,2,-9.399,1,0.0453,0.907,7.17E-06,0.0559,0.567,78.136,168480,4,spotify:track:4BH8EuPAxeFAh1rSWtnGdD,https://api.spotify.com/v1/audio-analysis/4BH8EuPAxeFAh1rSWtnGdD,jazz,male
